experiment,folder,group,n_usable_tags,unusable_tags,delta,refusal,n_fit_rows,n_calibration,n_stream,first_anomaly_stream_index,last_anomaly_stream_index,alarm_index,alarm_time,delay_s,outcome
valve1__7,valve1,labelled,8,,0.05,,116.0,58.0,920.0,404.0,808.0,508.0,2020-03-09T12:46:25+00:00,108.0,alarm inside the anomaly span
valve1__8,valve1,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.01,,114.0,57.0,973.0,401.0,800.0,226.0,2020-03-09T13:01:35+00:00,,false alarm before onset
valve1__8,valve1,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.05,,114.0,57.0,973.0,401.0,800.0,224.0,2020-03-09T13:01:33+00:00,,false alarm before onset
valve1__9,valve1,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.01,,115.0,57.0,976.0,402.0,803.0,135.0,2020-03-09T13:19:59+00:00,,false alarm before onset
valve1__9,valve1,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.05,,115.0,57.0,976.0,402.0,803.0,19.0,2020-03-09T13:17:58+00:00,,false alarm before onset
valve2__0,valve2,labelled,7,Pressure: MAD over the fit windows is zero,0.01,,113.0,56.0,956.0,393.0,786.0,555.0,2020-03-09T16:09:23+00:00,173.0,alarm inside the anomaly span
valve2__0,valve2,labelled,7,Pressure: MAD over the fit windows is zero,0.05,,113.0,56.0,956.0,393.0,786.0,534.0,2020-03-09T16:09:01+00:00,151.0,alarm inside the anomaly span
valve2__1,valve2,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.01,,113.0,55.0,895.0,392.0,724.0,17.0,2020-03-09T16:19:48+00:00,,false alarm before onset
valve2__1,valve2,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.05,,113.0,55.0,895.0,392.0,724.0,10.0,2020-03-09T16:19:41+00:00,,false alarm before onset
valve2__2,valve2,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.01,,113.0,56.0,960.0,396.0,790.0,40.0,2020-03-09T16:40:14+00:00,,false alarm before onset
valve2__2,valve2,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.05,,113.0,56.0,960.0,396.0,790.0,35.0,2020-03-09T16:40:08+00:00,,false alarm before onset
valve2__3,valve2,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.01,,113.0,56.0,826.0,395.0,789.0,5.0,2020-03-09T16:59:36+00:00,,false alarm before onset
valve2__3,valve2,labelled,6,Pressure: MAD over the fit windows is zero; Volume Flow RateRMS: MAD over the fit windows is zero,0.05,,113.0,56.0,826.0,395.0,789.0,4.0,2020-03-09T16:59:35+00:00,,false alarm before onset
