tool,experiment,folder,group,n_windows,n_stream,n_scored,n_refused,threshold,roc_auc,auc_refusal,first_anomaly_window,last_anomaly_window,n_pre,n_pre_fired,detected,delay_windows,n_post,n_post_fired,recovered,refusal
mspc_t2,valve1__6,valve1,labelled,20,17,17,0,1.3245,0.5,,10.0,17.0,7.0,0.0,True,5.0,2.0,0.0,True,
mspc_t2,valve1__7,valve1,labelled,21,18,15,3,1.1445,0.3393,,10.0,17.0,7.0,5.0,True,0.0,1.0,0.0,True,
mspc_t2,valve1__8,valve1,labelled,20,17,16,1,1.3982,0.625,,9.0,16.0,6.0,0.0,False,,2.0,0.0,,
mspc_t2,valve1__9,valve1,labelled,21,18,17,1,1.073,0.6667,,10.0,17.0,7.0,0.0,True,0.0,2.0,0.0,True,
mspc_t2,valve2__0,valve2,labelled,20,17,0,17,,,no scored stream window,10.0,16.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_t2,valve2__1,valve2,labelled,21,18,0,18,,,no scored stream window,10.0,16.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_t2,valve2__2,valve2,labelled,20,17,0,17,,,no scored stream window,10.0,16.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_t2,valve2__3,valve2,labelled,18,15,0,15,,,no scored stream window,10.0,17.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
screen,anomaly-free__anomaly-free,anomaly-free,anomaly_free,167,164,164,0,3.4756,,record carries one class only in its scored stream windows,,,164.0,163.0,,,,,,
screen,other__1,other,labelled,14,11,11,0,34.7676,0.8,,9.0,13.0,6.0,1.0,True,1.0,0.0,0.0,,
screen,other__10,other,labelled,24,21,21,0,4.3203,0.9727,,10.0,20.0,7.0,6.0,True,0.0,3.0,3.0,False,
screen,other__11,other,labelled,21,18,18,0,5.3415,0.7,,10.0,17.0,7.0,4.0,True,0.0,3.0,3.0,False,
screen,other__12,other,labelled,21,18,18,0,4.5993,0.9125,,10.0,17.0,7.0,6.0,True,0.0,3.0,3.0,False,
screen,other__13,other,labelled,19,16,16,0,4.2408,0.6349,,9.0,15.0,6.0,5.0,True,0.0,3.0,3.0,False,
screen,other__14,other,labelled,16,13,13,0,5.1731,1.0,,10.0,15.0,7.0,2.0,True,0.0,0.0,0.0,,
screen,other__2,other,labelled,18,15,13,2,,0.0,,5.0,12.0,,,,,,,,baseline window refused: window 2: Accelerometer1RMS: no rows in window; Accelerometer2RMS: no rows in window; Current: no rows in window; Temperature: no rows in window; Thermocouple: no rows in window; Voltage: no rows in window; Volume Flow RateRMS: no rows in window
screen,other__3,other,labelled,20,17,17,0,34.7676,0.9375,,9.0,16.0,6.0,1.0,True,1.0,3.0,1.0,True,
screen,other__4,other,labelled,21,18,18,0,2.7501,0.8052,,14.0,20.0,11.0,9.0,True,0.0,0.0,0.0,,
screen,other__5,other,labelled,21,18,18,0,5.9142,1.0,,10.0,17.0,7.0,5.0,True,0.0,3.0,3.0,False,
screen,other__6,other,labelled,21,18,18,0,3.4457,1.0,,10.0,17.0,7.0,4.0,True,0.0,3.0,3.0,False,
screen,other__7,other,labelled,20,17,17,0,4.1777,1.0,,10.0,16.0,7.0,6.0,True,0.0,3.0,3.0,False,
screen,other__8,other,labelled,21,18,18,0,5.0892,0.8875,,10.0,17.0,7.0,0.0,True,0.0,3.0,2.0,False,
screen,other__9,other,labelled,20,17,17,0,5.2868,0.9444,,9.0,16.0,6.0,1.0,True,1.0,3.0,3.0,False,
screen,valve1__0,valve1,labelled,20,17,17,0,3.0585,0.8571,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
screen,valve1__1,valve1,labelled,21,18,18,0,2.9176,0.4875,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
screen,valve1__10,valve1,labelled,20,17,17,0,66.8223,0.9071,,10.0,16.0,7.0,0.0,True,1.0,3.0,0.0,True,
screen,valve1__11,valve1,labelled,21,18,18,0,2.8507,0.1625,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
