experiment,tag,n_windows,median_first_10,median_last_10,change,spearman_rho,refusal,share_flagged_min_0_3,n_later_min_0_3,share_flagged_min_3_6,n_later_min_3_6,share_flagged_min_60_63,n_later_min_60_63
anomaly-free__anomaly-free,Accelerometer1RMS,167.0,0.2023,0.2175,0.0152,0.6831,,0.9207,164,0.9752,161,0.7212,104
anomaly-free__anomaly-free,Accelerometer2RMS,167.0,0.2766,0.2712,-0.0054,-0.6602,,0.9756,164,1.0,161,0.5962,104
anomaly-free__anomaly-free,Current,167.0,2.5487,2.6056,0.0568,-0.0928,,0.7622,164,0.9938,161,0.4519,104
anomaly-free__anomaly-free,Pressure,167.0,0.0547,0.0547,0.0,0.1336,baseline 0-3: MAD over the baseline windows is zero; baseline 3-6: MAD over the baseline windows is zero; baseline 60-63: MAD over the baseline windows is zero,,164,,161,,104
anomaly-free__anomaly-free,Temperature,167.0,90.9538,88.8625,-2.0913,-0.9076,,0.8963,164,0.913,161,0.1442,104
anomaly-free__anomaly-free,Thermocouple,167.0,26.9962,29.3531,2.3569,0.9983,,0.9939,164,0.9938,161,0.9808,104
anomaly-free__anomaly-free,Voltage,167.0,228.6848,229.285,0.6002,0.1246,,0.0976,164,0.9814,161,0.6923,104
anomaly-free__anomaly-free,Volume Flow RateRMS,167.0,122.0,126.323,4.323,0.7975,,0.9817,164,0.9814,161,0.5577,104
anomaly-free__anomaly-free,max over usable tags,,,,,,,1.0,164,1.0,161,1.0,104
